 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP
($)","FeLV
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
486,Beverly Robertson Veterinary Clinic,(310) 464-0264,1800 S Robertson Blvd #8,Los Angeles,90035,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,BeWell Animal Hospital,(213) 785-2918,275 S Atlantic Blvd Unit B,Los Angeles,90022,General Practice,"Tuesday: 8:00 AM – 4:30 PM
Wednesday: 8:00 AM – 4:30 PM
Thursday: 8:00 AM – 4:30 PM
Friday: 8:00 AM – 4:30 PM
Saturday: 8:00 AM – 4:30 PM
Sunday: 8:00 AM – 4:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Boulevard Pet Clinic,(818) 506-2440,11440 Ventura Blvd # 102,Los Angeles,91604,General Practice,"Monday: 10:00 AM – 2:00 PM
Tuesday: 8:00 AM – 4:30 PM
Wednesday: 8:00 AM – 4:30 PM
Thursday: 8:00 AM – 4:30 PM
Friday: 8:00 AM – 4:30 PM
Saturday: 8:00 AM – 4:30 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Brighter Veterinary Center,(818) 435-9865,18523 Devonshire St,Los Angeles,91324,General Practice,"Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 8:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Cahuenga Veterinary Hospital,(323) 462-0660,825 N Cahuenga Blvd,Los Angeles,90038,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:30 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,CAMP Clinic - Los Angeles,(310) 574-5555,3612 11th Ave,Los Angeles,90018,General Practice,"Monday: 9:00 AM – 4:00 PM
Tuesday: 9:00 AM – 4:00 PM
Wednesday: 9:00 AM – 4:00 PM
Thursday: 9:00 AM – 4:00 PM
Friday: 9:00 AM – 4:00 PM
Saturday: 9:00 AM – 4:00 PM
Sunday: 9:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Canoga Park Veterinary Center,(818) 992-8860,22323 Sherman Way,Los Angeles,91303,General Practice,"Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM
Sunday: 8:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Capri Plaza Pet Clinic,(818) 881-6344,19582 Ventura Blvd,Los Angeles,91356,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Cat's Meow Veterinary Clinic,(818) 346-7161,19909 Ventura Blvd,Los Angeles,91364,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Cats Only Veterinary House Calls,(818) 884-0500,22430 Ventura Blvd,Los Angeles,91364,General Practice,"Monday: 10:00 AM – 4:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Center Sinai Animal Hospital,(310) 559-3770,10737 Venice Blvd.,Los Angeles,90034,General Practice,"Monday: 10:00 AM – 4:00 PM
Tuesday: 7:30 AM – 9:00 PM
Wednesday: 7:30 AM – 9:00 PM
Thursday: 7:30 AM – 9:00 PM
Friday: 7:30 AM – 9:00 PM
Saturday: 7:30 AM – 9:00 PM
Sunday: 7:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Complete Animal Eye Care Center,(818) 986-4356,14120 Ventura Blvd,Los Angeles,91423,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Cozycroft Pet Hospital,(818) 341-3040,20601 Plummer St,Los Angeles,91311,General Practice,"Tuesday: 8:00 AM – 11:30 AM
Tuesday: 2:00 PM – 5:00 PM
Wednesday: 8:00 AM – 11:30 AM
Wednesday: 2:00 PM – 5:00 PM
Thursday: 8:00 AM – 11:30 AM
Thursday: 2:00 PM – 4:45 PM
Friday: 8:00 AM – 11:30 AM
Friday: 2:00 PM – 5:00 PM
Saturday: 8:00 AM – 11:30 AM
Saturday: 2:00 PM – 5:00 PM
Sunday: 9:30 AM – 11:30 AM
Sunday: 2:00 PM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Culver Palms Animal Hospital,(310) 398-7256,11511 W Washington Blvd,Los Angeles,90066,General Practice,"Monday: 10:00 AM – 6:00 PM
Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Dr. Gayle Grasmehr,(818) 342-3142,18452 Burbank Blvd,Los Angeles,91356,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,DTLAvets - Wellness and Urgent Care Services,(213) 613-1537,333 S Spring St,Los Angeles,90013,General Practice,"Tuesday: 8:00 AM – 10:00 PM
Wednesday: 8:00 AM – 10:00 PM
Thursday: 8:00 AM – 10:00 PM
Friday: 8:00 AM – 10:00 PM
Saturday: 8:00 AM – 10:00 PM
Sunday: 8:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Eagle Glen Veterinary Clinic,(323) 256-0405,4305 N Eagle Rock Blvd,Los Angeles,90041,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Eagle Rock Pet Care,(323) 794-0566,4000 N Eagle Rock Blvd,Los Angeles,90065,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,East Los Angeles Dog and Cat Hospital,(323) 688-5570,5655 Whittier Blvd,Los Angeles,90022,General Practice,"Tuesday: 8:00 AM – 12:00 PM
Tuesday: 1:00 PM – 5:00 PM
Wednesday: 8:00 AM – 12:00 PM
Wednesday: 1:00 PM – 5:00 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 1:00 PM – 5:00 PM
Friday: 8:00 AM – 12:00 PM
Friday: 1:00 PM – 5:00 PM
Saturday: 8:00 AM – 12:00 PM
Saturday: 1:00 PM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,East Valley Veterinary Clinic,(818) 767-7116,8246 Sunland Blvd,Los Angeles,91352,General Practice,"Tuesday: 7:00 AM – 5:00 PM
Wednesday: 7:00 AM – 1:00 PM
Thursday: 7:00 AM – 5:00 PM
Friday: 7:00 AM – 5:00 PM
Saturday: 7:00 AM – 5:00 PM
Sunday: 7:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Echo Park Veterinary Hospital,(323) 663-1107,1739 Glendale Blvd,Los Angeles,90026,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Emerald Animal Hospital,(310) 564-0013,11560 W Olympic Blvd,Los Angeles,90064,General Practice,"Monday: 9:00 AM – 3:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Encino Pet Hospital and Emergency,(818) 922-2209,17324 Ventura Blvd,Los Angeles,91316,General Practice,"Monday: 7:30 AM – 7:00 PM
Tuesday: 7:30 AM – 7:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 7:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 7:00 PM
Sunday: 7:30 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Encino Veterinary Center,(818) 783-7387,17623 Ventura Blvd,Los Angeles,91316,General Practice,"Monday: 8:00 AM – 7:00 PM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 8:00 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Fallbrook Veterinary Clinic,(818) 225-7071,5960 Fallbrook Ave,Los Angeles,91367,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Florence Pet Clinic,(323) 585-6486,2027 E Florence Ave,Los Angeles,90001,General Practice,"Tuesday: 10:00 AM – 5:45 PM
Wednesday: 10:00 AM – 5:45 PM
Thursday: 10:00 AM – 5:45 PM
Friday: 10:00 AM – 5:45 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Gemcore Veterinary Services,(818) 626-4964,21701 Devonshire St Suite F,Los Angeles,91311,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Gold Coast Mobile Veterinary Care,(310) 528-4026,"Mailing address only, 9854 National Blvd #500",Los Angeles,90034,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Granada Veterinary Clinic,(818) 361-0125,10838 Sepulveda Blvd,Los Angeles,91345,General Practice,"Tuesday: 9:00 AM – 5:30 PM
Wednesday: 9:00 AM – 5:30 PM
Thursday: 9:00 AM – 5:30 PM
Friday: 9:00 AM – 5:30 PM
Saturday: 9:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Grand Park Animal Hospital,(213) 935-8160,333 S Alameda St Ste 222,Los Angeles,90013,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Green Abernathy and Moore,(828) 532-5559,433 S Spring St # 10,Los Angeles,90013,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Green Dog & Cat Hospital,(323) 753-8440,1544 W Slauson Ave,Los Angeles,90047,General Practice,"Tuesday: 8:00 AM – 4:00 PM
Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:30 AM – 4:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:30 AM – 4:00 PM
Sunday: 8:30 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Green Dog Dental and Veterinary Center,(310) 606-2407,210 Main St,Los Angeles,90291,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Hancock Park Veterinary Clinic,(323) 936-6952,5200 Wilshire Blvd,Los Angeles,90036,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Harbor Pines Veterinary Center,(310) 517-1832,26640 Western Ave,Los Angeles,90710,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Healing Touch Veterinary Wellness Center,(818) 453-8911,19501 Ventura Blvd,Los Angeles,91356,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Highland Park Animal Hospital,(323) 254-6868,5210 York Blvd,Los Angeles,90042,General Practice,"Tuesday: 8:00 AM – 12:30 PM
Tuesday: 2:30 PM – 6:00 PM
Wednesday: 8:00 AM – 12:30 PM
Wednesday: 2:30 PM – 6:00 PM
Thursday: 8:00 AM – 12:30 PM
Thursday: 2:30 PM – 6:00 PM
Friday: 8:00 AM – 12:30 PM
Friday: 2:30 PM – 6:00 PM
Saturday: 8:00 AM – 12:30 PM
Saturday: 2:30 PM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Holiday Humane Society Clinic,(818) 765-8196,7301 Fulton Ave,Los Angeles,91605,General Practice,"Wednesday: 8:00 AM – 11:30 AM
Wednesday: 1:00 PM – 4:30 PM
Thursday: 8:00 AM – 11:00 AM
Thursday: 1:00 PM – 4:30 PM
Friday: 8:00 AM – 11:00 AM
Friday: 1:00 PM – 4:30 PM
Saturday: 8:00 AM – 11:00 AM
Saturday: 1:00 PM – 4:30 PM
Sunday: 8:00 AM – 11:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Kinder 4 Rescue Low Cost Pet Clinic,(818) 505-0006,5308 Vineland Ave,Los Angeles,91601,General Practice,"Tuesday: 7:30 AM – 7:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Kitten Rescue Spay/Neuter Clinic,(818) 527-1344,20655 Plummer St,Los Angeles,91311,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,L A Central Animal Hospital,(323) 225-4228,220 W Ave 26,Los Angeles,90031,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,L.A. Pet Clinic,(323) 461-3575,5853 Melrose Ave,Los Angeles,90038,General Practice,"Tuesday: 11:00 AM – 7:00 PM
Wednesday: 11:00 AM – 4:00 PM
Thursday: 11:00 AM – 4:00 PM
Friday: 11:00 AM – 7:00 PM
Saturday: 11:00 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"LAASER Los Angeles Animal Specialty, Emergency & Rehabilitation",(323) 800-8387,2500 N San Fernando Rd,Los Angeles,90065,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Laguna Vista Veterinary Center,(310) 737-8600,26333 Vermont Ave,Los Angeles,90710,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Lake Balboa Veterinary Care,(818) 907-0929,6440 Sepulveda Blvd B,Los Angeles,91411,General Practice,"Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Little Tokyo Pet Clinic,(213) 537-0989,236 S Los Angeles St suite h,Los Angeles,90012,General Practice,"Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Los Angeles Veterinary Center,(323) 685-7131,109 N Boyle Ave,Los Angeles,90033,General Practice,"Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM
Sunday: 8:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Los Feliz Small Animal Hospital,(323) 664-3309,3166 Los Feliz Blvd,Los Angeles,90039,General Practice,"Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: 7:30 AM – 5:00 PM
Saturday: 7:30 AM – 5:00 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Low Cost Pet Vaccines of Los Angeles - One Generation Parking Lot,(818) 478-2403,17400 Victory Blvd,Los Angeles,91406,General Practice,"Monday: 3:00 PM – 5:00 PM
Sunday: 1:00 PM – 2:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Low Cost Pet Vaccines Serrania Park Woodland Hills,null,20726 Wells Dr,Los Angeles,91364,General Practice,Sunday: 3:30 PM – 5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,M J Brandt,(310) 821-4967,2506 Lincoln Blvd,Los Angeles,90291,General Practice,"Monday: 9:00 AM – 4:00 PM
Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Mar Vista Animal Medical Center,(310) 391-6741,3850 Grand View Blvd,Los Angeles,90066,General Practice,"Monday: 8:00 AM – 3:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Marina Veterinary Center,(310) 642-8080,8421 Lincoln Blvd,Los Angeles,90045,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Marine Mammal Care Center,(424) 450-0570,3601 S Gaffey St #8,Los Angeles,90731,General Practice,"Monday: 10:00 AM – 4:00 PM
Tuesday: 10:00 AM – 4:00 PM
Saturday: 10:00 AM – 4:00 PM
Sunday: 10:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,McGrath Veterinary Center,(818) 796-4550,4560 Sherman Oaks Ave,Los Angeles,91403,General Practice,"Monday: 8:00 AM – 8:00 PM
Tuesday: 7:00 AM – 8:00 PM
Wednesday: 7:00 AM – 8:00 PM
Thursday: 7:00 AM – 8:00 PM
Friday: 7:00 AM – 8:00 PM
Saturday: 7:00 AM – 8:00 PM
Sunday: 8:00 AM – 8:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Melrose La Brea Animal Hospital,(323) 937-2334,7116 Melrose Ave,Los Angeles,90046,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Metropolitan Animal Specialty Hospital (MASH),(855) 350-7387,6565 Santa Monica Blvd,Los Angeles,90038,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Mid Valley Veterinary Hospital,(818) 705-4585,17280 Saticoy St,Los Angeles,91406,General Practice,"Monday: 9:00 AM – 6:00 PM
Tuesday: 10:00 AM – 8:00 PM
Wednesday: 10:00 AM – 8:00 PM
Thursday: 10:00 AM – 8:00 PM
Friday: 10:00 AM – 8:00 PM
Saturday: 10:00 AM – 8:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Mission Veterinary Clinic and Animal Emergency Hospital,(818) 363-8143,16915 San Fernando Mission Blvd,Los Angeles,91344,General Practice,"Thursday: 8:30 AM – 11:30 PM
Friday: 8:30 AM – 11:30 PM
Saturday: 12:00 AM – 12:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Modern Animal Downtown LA,(213) 335-2199,301 W Olympic Blvd,Los Angeles,90015,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Modern Animal Encino,(747) 269-6832,16437 Ventura Blvd,Los Angeles,91436,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Modern Animal La Brea,(213) 632-3908,359 S La Brea Ave,Los Angeles,90036,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Modern Animal Los Feliz,(213) 642-1194,4850 Hollywood Blvd,Los Angeles,90027,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Modern Animal Playa Vista,(424) 276-7260,12775 Millennium Dr Suite 115,Los Angeles,90094,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Modern Animal Studio City,(747) 302-2747,12157 Ventura Blvd,Los Angeles,91604,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Modern Animal West Hollywood,(213) 642-2188,8122 Beverly Blvd,Los Angeles,90048,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Modern Animal West LA,(424) 842-4244,1901 Westwood Blvd,Los Angeles,90025,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Mohawk Alley Animal Hospital,(213) 201-7900,2162 Sunset Blvd,Los Angeles,90026,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
